doc_id,topic,title,chunk_id,chunk_text
1,Account Access,Password Reset and Login Lockouts,1_1,"Password Reset and Login Lockouts. Users can reset their password from the sign-in page by clicking Forgot password. A reset link is emailed to the registered address and expires after 30 minutes. Accounts lock after 5 failed login attempts and unlock automatically after 15 minutes. If the email address is no longer accessible, users must contact support with proof of ownership."
2,Billing,"Invoices, Charges, and Refunds",2_1,"Invoices, Charges, and Refunds. Invoices are generated at the beginning of each billing cycle and can be downloaded from the billing page. If a customer sees a duplicate charge, the billing team should be contacted with the transaction ID. Refunds are usually processed within 5 to 10 business days after approval."
3,Subscriptions,"Plans, Upgrades, and Cancellations",3_1,"Plans, Upgrades, and Cancellations. The platform offers Basic, Pro, and Enterprise plans. Upgrades take effect immediately, while downgrades are applied at the end of the current billing cycle. Monthly plans can be canceled at any time from account settings. Annual plans are refundable only under the early cancellation policy."
4,App Issues,"Crashes, Performance, and Compatibility",4_1,"Crashes, Performance, and Compatibility. If the mobile app crashes, users should first clear the app cache, update to the latest version, and restart the device. Performance issues are often caused by low memory, outdated operating systems, or unstable network connections. The app supports the two latest major versions of Android and iOS."
5,API,"API Keys, Rate Limits, and Errors",5_1,"API Keys, Rate Limits, and Errors. API keys can be created from the developer portal and should be stored securely. The default rate limit is 100 requests per minute for standard accounts. A 401 response usually means the API key is missing or invalid. A 429 response means the rate limit has been exceeded and the client should retry with backoff."
6,Security,"Privacy, Encryption, and Data Retention",6_1,"Privacy, Encryption, and Data Retention. All customer data is encrypted at rest and in transit. The platform follows role-based access control and logs administrative actions for audit purposes. Data retention for deleted workspaces is 30 days unless a legal hold is active. Enterprise customers can request single sign-on, IP allowlists, and enhanced audit logs."
7,Notifications,Email and Push Notification Settings,7_1,"Email and Push Notification Settings. Users can enable or disable product emails from notification preferences. Daily digest emails are sent at 8:00 AM local time if enabled. Push notifications require a supported mobile device and app permissions. If a user is not receiving emails, they should check spam filters and verify the sender address is approved."
8,Integrations,"Slack, Webhooks, and Third-Party Tools",8_1,"Slack, Webhooks, and Third-Party Tools. Slack integration supports workspace-level notifications and channel mapping. Webhooks send event payloads as JSON to a user-provided endpoint. If webhook delivery fails, the system retries three times before pausing the integration. Third-party tools may require a workspace admin to authorize the connection."
9,Data Export,"Exports, Backups, and Importing Data",9_1,"Exports, Backups, and Importing Data. Users can export project data as CSV or JSON from the settings menu. Large exports may be delivered by email once processing completes. Backups are performed nightly and retained for 14 days. Imported files must follow the platform schema, otherwise rows are skipped and reported in the import log."
10,Support,Escalation Paths and Response Times,10_1,"Escalation Paths and Response Times. Support tickets are categorized by severity from low to critical. Critical incidents receive the fastest response and may require a live incident bridge. Standard support responds within one business day. Customers should include screenshots, timestamps, and the exact error message for faster investigation."
